Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
0 : 45 : 15,1 : 30 : 24,2 : 36 : 56,6 : 10 : 52,4.110497237569061,4.11504424778761,5.008496176720476,4.2387201150458385
1 : 16 : 58,1 : 58 : 12,2 : 36 : 44,5 : 23 : 52,2.4166305760069293,3.1472081218274113,5.014887282007656,4.85384932070811
0 : 31 : 33,1 : 02 : 59,2 : 17 : 9,5 : 30 : 3,5.8954041204437395,5.906324424450913,5.730951512942034,4.76291470989244
0 : 36 : 53,1 : 13 : 32,3 : 15 : 58,6 : 17 : 54,5.042928151830096,5.058930190389846,4.010886205136928,4.159830643027256
0 : 50 : 54,1 : 32 : 05,2 : 14 : 43,4 : 59 : 53,3.6542239685658156,4.039819004524888,5.834467400717555,5.242038570555216
0 : 32 : 49,1 : 09 : 31,2 : 33 : 15,4 : 53 : 47,5.667851701371254,5.351234715895469,5.128874388254486,5.350882169399216
0 : 40 : 26,1 : 21 : 59,2 : 52 : 36,6 : 0 : 36,4.600164880461666,4.537507623500712,4.55388180764774,4.359400998336106
0 : 42 : 44,1 : 28 : 59,3 : 11 : 35,6 : 0 : 56,4.352574102964119,4.180558156958232,4.1026533275337105,4.3553749538234205
0 : 45 : 34,1 : 07 : 27,2 : 27 : 44,5 : 27 : 38,4.081931236283833,5.515196441808747,5.3203971119133575,4.798046596805372
1 : 20 : 12,1 : 50 : 41,3 : 31 : 57,6 : 50 : 12,2.319201995012469,3.360939617527481,3.7084217975937723,3.832276938078986
0 : 33 : 00,1 : 11 : 58,2 : 29 : 2,5 : 45 : 27,5.636363636363636,5.169059749884205,5.273987922165063,4.550586191923578
1 : 16 : 59,1 : 22 : 55,2 : 43 : 6,4 : 45 : 4,2.4161073825503356,4.4864321608040205,4.819129368485592,5.5144995322731525
0 : 53 : 01,1 : 40 : 09,3 : 19 : 26,6 : 58 : 1,3.5083307136120716,3.714428357463804,3.9411666388099613,3.7606156054383795
0 : 44 : 06,1 : 26 : 52,2 : 50 : 5,5 : 45 : 36,4.217687074829932,4.282425172678435,4.621264086232238,4.548611111111111
0 : 54 : 01,1 : 39 : 55,3 : 0 : 12,6 : 29 : 29,3.4433816723233575,3.7231025854879065,4.361820199778025,4.036116222345842
0 : 46 : 07,1 : 31 : 53,3 : 15 : 38,5 : 19 : 18,4.033249006143838,4.048612370760022,4.017720224910547,4.923269652364547
0 : 36 : 52,1 : 16 : 20,2 : 57 : 42,6 : 18 : 39,5.045207956600362,4.873362445414847,4.423185143500282,4.151591179189225
0 : 37 : 55,1 : 21 : 02,2 : 52 : 58,6 : 53 : 34,4.905494505494506,4.590703414232826,4.544228174985546,3.8010800354638508
1 : 02 : 24,1 : 32 : 21,3 : 6 : 45,7 : 0 : 1,2.980769230769231,4.0281537628586905,4.208835341365462,3.742708622673703
0 : 36 : 52,1 : 16 : 20,2 : 57 : 43,6 : 18 : 39,5.045207956600362,4.873362445414847,4.422770327300009,4.151591179189225
0 : 53 : 01,1 : 40 : 10,3 : 19 : 28,6 : 23 : 46,3.5083307136120716,3.713810316139767,3.9405080213903743,4.096239034135325
1 : 02 : 28,1 : 32 : 22,3 : 6 : 46,7 : 0 : 1,2.977588046958378,4.027426921688921,4.208459753703373,3.742708622673703
0 : 21 : 28,0 : 44 : 54,1 : 37 : 23,3 : 36 : 26,8.6645962732919255,8.285077951002227,8.071196303268868,7.263206530109349
0 : 56 : 53,1 : 42 : 20,3 : 6 : 1,6 : 50 : 1,3.269850571344858,3.635179153094463,4.225427829047576,3.833990488191537
0 : 30 : 29,1 : 00 : 27,2 : 11 : 44,4 : 18 : 31,6.101694915254237,6.153846153846153,5.966599190283401,6.080845851331314
0 : 50 : 31,2 : 07 : 14,2 : 20 : 35,5 : 4 : 38,3.681953150775322,2.92376211684569,5.590989922940129,5.160302002407266
0 : 30 : 34,1 : 04 : 05,2 : 26 : 17,4 : 46 : 17,6.085059978189749,5.804941482444733,5.3731343283582085,5.491063631600395
0 : 30 : 36,1 : 04 : 05,2 : 26 : 17,4 : 46 : 17,6.078431372549019,5.804941482444733,5.3731343283582085,5.491063631600395
0 : 48 : 37,1 : 30 : 46,3 : 23 : 57,6 : 39 : 51,3.825848474460062,4.09842085934631,3.8538857563128217,3.9314743028635735
0 : 24 : 30,1 : 09 : 19,2 : 23 : 53,4 : 27 : 25,7.591836734693878,5.366674681413802,5.4627591798911155,5.878466812090993
1 : 06 : 30,2 : 04 : 14,3 : 46 : 5,7 : 33 : 44,2.7969924812030076,2.994365441373759,3.476594176188721,3.4645900675874226
0 : 28 : 24,0 : 56 : 23,3 : 46 : 3,7 : 33 : 43,6.549295774647888,6.597694354123559,3.4771068347710683,3.464717334606766
0 : 38 : 23,1 : 26 : 11,3 : 3 : 17,6 : 40 : 10,4.845853234910986,4.316379810481531,4.288442302446121,3.9283631820074962
0 : 51 : 10,1 : 39 : 02,3 : 21 : 51,6 : 58 : 18,3.635179153094463,3.7563110063951535,3.8939806787218227,3.7580683719818313
0 : 38 : 22,1 : 26 : 12,3 : 3 : 16,6 : 40 : 9,4.847958297132927,4.315545243619489,4.288832302655511,3.9285268024490816
0 : 51 : 11,1 : 39 : 03,3 : 21 : 50,6 : 58 : 19,3.6339954412243576,3.75567895002524,3.894302229562345,3.7579186421769792
0 : 45 : 23,1 : 26 : 43,3 : 4 : 45,6 : 26 : 44,4.09842085934631,4.289832788775706,4.2543978349120435,4.064816410963626
0 : 55 : 42,1 : 40 : 56,3 : 15 : 59,6 : 55 : 29,3.3393177737881508,3.6856010568031703,4.0105451143804745,3.7835452685627176
0 : 19 : 08,0 : 40 : 57,1 : 39 : 21,3 : 6 : 35,9.721254355400697,9.084249084249084,7.911424257674887,8.425189816882536
0 : 46 : 36,1 : 24 : 04,3 : 3 : 26,6 : 49 : 34,3.9914163090128754,4.425059476605869,4.284935489732873,3.8382029787580367
0 : 41 : 03,1 : 26 : 50,3 : 11 : 21,6 : 42 : 55,4.531059683313034,4.2840690978886755,4.107656127515025,3.901551189245088
0 : 33 : 45,1 : 13 : 56,2 : 50 : 1,5 : 57 : 9,5.511111111111111,5.031559963931469,4.623076169003038,4.401511969760605
1 : 16 : 25,1 : 55 : 02,3 : 53 : 24,7 : 23 : 55,2.4340239912758994,3.2338452622428284,3.3676092544987144,3.5412051811526184
0 : 50 : 34,1 : 48 : 59,3 : 38 : 35,7 : 7 : 15,3.6783124588002636,3.4133659580975686,3.595882577201677,3.679344645991808
0 : 29 : 09,0 : 54 : 55,1 : 56 : 50,3 : 56 : 39,6.380789022298457,6.773899848254932,6.727532097004279,6.642721318402704
0 : 43 : 54,1 : 16 : 35,2 : 26 : 55,5 : 43 : 20,4.236902050113895,4.857453754080523,5.349971639251276,4.578640776699029
0 : 47 : 44,1 : 33 : 41,3 : 22 : 1,6 : 45 : 43,3.8966480446927374,3.970823696851094,3.8907680884415474,3.8746251489134456
0 : 47 : 44,1 : 33 : 41,3 : 22 : 2,6 : 45 : 42,3.8966480446927374,3.970823696851094,3.890447120937139,3.8747843233916686
0 : 29 : 15,1 : 15 : 05,2 : 20 : 37,5 : 42 : 10,6.3589743589743595,4.95449500554939,5.58966457271542,4.594252313687286
0 : 31 : 36,1 : 08 : 16,2 : 36 : 22,3 : 51 : 19,5.886075949367088,5.44921875,5.026646770411426,6.795878665609914
0 : 31 : 20,1 : 00 : 41,2 : 12 : 7,4 : 30 : 43,5.9361702127659575,6.13018401538039,5.949287246120853,5.80680908699132
0 : 58 : 26,1 : 48 : 34,3 : 27 : 38,6 : 55 : 10,3.18311466058186,3.4264660730733807,3.785519344999197,3.786431152147731
0 : 37 : 46,1 : 15 : 16,2 : 56 : 52,5 : 30 : 16,4.924977934686672,4.942426926483614,4.444025631360724,4.759790068631409
0 : 36 : 21,1 : 25 : 46,2 : 56 : 58,6 : 38 : 26,5.116918844566713,4.337349397590361,4.441514409493313,3.9454530243453525
0 : 36 : 24,1 : 25 : 47,2 : 56 : 58,6 : 38 : 26,5.1098901098901095,4.3365067029337485,4.441514409493313,3.9454530243453525
0 : 28 : 12,1 : 00 : 28,2 : 16 : 21,5 : 43 : 55,6.595744680851064,6.152149944873208,5.764576457645765,4.5708747274048935
0 : 42 : 27,1 : 27 : 40,3 : 43 : 49,5 : 48 : 6,4.381625441696113,4.243346007604562,3.5118028148037825,4.515943694340707
1 : 26 : 31,1 : 29 : 39,3 : 44 : 58,7 : 6 : 37,2.1498747832787517,4.1494701617400995,3.4938509408801304,3.684806813298433
0 : 22 : 43,0 : 51 : 26,1 : 48 : 40,3 : 41 : 27,8.18782098312546,7.232663642255347,7.233128834355828,7.098667870851209
0 : 53 : 20,1 : 42 : 23,2 : 57 : 57,5 : 29 : 23,3.4875,3.6334038743285038,4.4169710592863165,4.772554774072762
1 : 15 : 54,1 : 58 : 51,4 : 9 : 35,7 : 34 : 46,2.4505928853754937,3.1299957930164073,3.1492487479131883,3.4567177307043906
1 : 15 : 52,1 : 20 : 23,3 : 7 : 19,6 : 31 : 9,2.451669595782074,4.627825005183496,4.196102856125989,4.0189185734373005
0 : 32 : 02,1 : 26 : 54,2 : 28 : 45,5 : 56 : 33,5.806451612903226,4.28078250863061,5.284033613445378,4.4089188052166595
0 : 36 : 17,1 : 10 : 16,2 : 39 : 17,5 : 38 : 30,5.126320624712909,5.294117647058824,4.934602908862614,4.644017725258493
0 : 34 : 42,1 : 07 : 52,2 : 40 : 14,6 : 9 : 21,5.360230547550432,5.481335952848724,4.905346369877263,4.256125626099905
0 : 32 : 17,0 : 59 : 04,2 : 8 : 1,5 : 10 : 23,5.761486835312339,6.297968397291196,6.1398255435490166,5.064704934758095
0 : 32 : 18,1 : 09 : 48,2 : 35 : 46,5 : 39 : 55,5.758513931888545,5.329512893982808,5.046008987802267,4.624662907575386
0 : 41 : 17,1 : 22 : 55,2 : 57 : 45,6 : 39 : 12,4.50545014129996,4.4864321608040205,4.421940928270042,3.937875751503006
0 : 58 : 06,1 : 30 : 27,3 : 18 : 3,6 : 45 : 55,3.2013769363166955,4.112769485903814,3.9686947740469574,3.8727160747279816
0 : 20 : 10,0 : 45 : 01,1 : 35 : 53,3 : 29 : 24,9.223140495867769,8.26360607182525,8.197462193638101,7.507163323782234
0 : 28 : 56,1 : 03 : 10,2 : 26 : 29,5 : 38 : 59,6.428571428571429,5.889182058047493,5.3657981567868935,4.63739613550322
0 : 36 : 16,1 : 10 : 13,2 : 39 : 16,5 : 38 : 30,5.1286764705882355,5.2978874910989795,4.935119296776894,4.644017725258493
0 : 24 : 43,0 : 52 : 36,1 : 55 : 25,6 : 26 : 24,7.525286581254216,7.072243346007604,6.810108303249097,4.068322981366459
0 : 31 : 22,1 : 00 : 50,2 : 12 : 12,4 : 51 : 0,5.929861849096706,6.115068493150686,5.94553706505295,5.402061855670103
0 : 29 : 28,0 : 59 : 32,2 : 7 : 52,4 : 53 : 18,6.3122171945701355,6.248600223964166,6.147028154327424,5.359699965905216
0 : 41 : 27,1 : 10 : 16,2 : 40 : 58,5 : 28 : 51,4.487334137515078,5.294117647058824,4.882998550424518,4.780294967310323
0 : 35 : 07,1 : 07 : 24,2 : 29 : 30,5 : 7 : 13,5.296630280018984,5.519287833827892,5.25752508361204,5.116909889871427
0 : 35 : 09,1 : 07 : 25,2 : 29 : 30,5 : 7 : 13,5.291607396870555,5.517923362175526,5.25752508361204,5.116909889871427
0 : 27 : 18,0 : 56 : 07,2 : 0 : 48,4 : 42 : 31,6.813186813186813,6.62904662904663,6.506622516556292,5.564273494189133
0 : 30 : 56,1 : 23 : 53,2 : 7 : 11,4 : 37 : 13,6.012931034482759,4.434730776872641,6.180055038658105,5.67065472253953
0 : 40 : 39,1 : 23 : 50,3 : 16 : 53,6 : 32 : 41,4.575645756457565,4.43737574552684,3.9922119698637095,4.003225669538645
0 : 36 : 16,0 : 59 : 05,2 : 8 : 0,4 : 26 : 23,5.1286764705882355,6.296191819464034,6.140625,5.901270099480699
0 : 37 : 57,1 : 18 : 03,3 : 14 : 12,5 : 54 : 24,4.901185770750987,4.766175528507367,4.047373841400618,4.435665914221219
0 : 31 : 08,1 : 03 : 10,2 : 12 : 49,4 : 48 : 14,5.974304068522485,5.889182058047493,5.917931986447484,5.453914652480629
0 : 26 : 30,0 : 52 : 45,1 : 49 : 16,3 : 57 : 54,7.018867924528302,7.052132701421801,7.193410616229408,6.6078184110970986
1 : 03 : 14,1 : 32 : 00,3 : 6 : 41,6 : 16 : 26,2.9414865577227203,4.043478260869565,4.210338362646192,4.1760382537855305
0 : 43 : 16,1 : 00 : 43,2 : 14 : 41,5 : 2 : 30,4.298921417565485,6.126818556135053,5.835911397104319,5.1966942148760324
1 : 27 : 15,1 : 54 : 14,3 : 25 : 7,6 : 50 : 35,2.1318051575931234,3.256492559089583,3.8319655480620782,3.8286990054800083
0 : 39 : 47,1 : 46 : 45,3 : 5 : 34,6 : 58 : 4,4.675324675324676,3.484777517564403,4.235674510508353,3.7601658427682985
1 : 20 : 00,1 : 26 : 01,3 : 20 : 24,6 : 43 : 34,2.325,4.324743266808758,3.922155688622754,3.89526720079293
0 : 25 : 16,0 : 55 : 26,1 : 57 : 41,4 : 14 : 42,7.361477572559367,6.710763680096212,6.678940659963178,6.171967020023557
0 : 25 : 16,0 : 55 : 26,1 : 57 : 42,4 : 14 : 42,7.361477572559367,6.710763680096212,6.6779949022939675,6.171967020023557
0 : 40 : 49,1 : 01 : 55,2 : 30 : 33,5 : 47 : 25,4.556962025316455,6.008075370121132,5.220856858186648,4.524826097385464
0 : 41 : 04,1 : 29 : 25,3 : 17 : 8,5 : 31 : 50,4.529220779220779,4.160298229263747,3.9871491376395,4.737317930688096
0 : 34 : 32,1 : 11 : 09,2 : 39 : 34,7 : 0 : 1,5.386100386100387,5.228390723822908,4.9258408188844784,3.742708622673703
0 : 38 : 17,1 : 25 : 53,2 : 57 : 6,6 : 32 : 26,4.858511101436657,4.331457403454298,4.438170525127047,4.00577592797078
0 : 37 : 37,1 : 17 : 21,2 : 44 : 28,5 : 57 : 38,4.944616747895437,4.809308338720104,4.779083907580056,4.39556342622798
0 : 35 : 57,1 : 18 : 08,2 : 42 : 13,5 : 52 : 10,5.17385257301808,4.761092150170648,4.845371416829344,4.4637955513487935
0 : 32 : 02,0 : 59 : 55,2 : 4 : 9,4 : 6 : 51,5.806451612903226,6.208623087621697,6.3310511478050735,6.368239821754101
1 : 11 : 43,1 : 17 : 29,2 : 50 : 27,5 : 42 : 19,2.5935393911224724,4.801032480103248,4.611322968612496,4.592239154778714
0 : 29 : 09,1 : 03 : 10,2 : 16 : 7,5 : 13 : 23,6.380789022298457,5.889182058047493,5.774458185380188,5.016220815827261
1 : 09 : 26,1 : 39 : 57,3 : 26 : 54,6 : 50 : 57,2.678828612578012,3.721860930465233,3.7989366843885937,3.825282881129091
0 : 37 : 23,1 : 17 : 54,2 : 49 : 11,5 : 25 : 17,4.97547926883638,4.775353016688062,4.6458476997340155,4.832709945176
0 : 35 : 06,1 : 32 : 50,2 : 37 : 24,6 : 28 : 27,5.299145299145299,4.007181328545782,4.993646759847522,4.046852876818123
0 : 34 : 55,1 : 07 : 42,2 : 33 : 20,5 : 50 : 44,5.326968973747017,5.4948301329394384,5.126086956521738,4.482037635430527
0 : 29 : 16,0 : 59 : 30,2 : 14 : 8,4 : 59 : 55,6.355353075170843,6.2521008403361344,5.859840954274354,5.241455959988885
0 : 59 : 25,1 : 20 : 23,2 : 58 : 56,4 : 48 : 26,3.130434782608696,4.627825005183496,4.3926974664679586,5.450132901883739
0 : 21 : 04,0 : 59 : 13,1 : 47 : 47,3 : 36 : 31,8.829113924050633,6.282015198423867,7.2924076078552655,7.260411053806481
1 : 07 : 55,1 : 49 : 03,3 : 41 : 12,7 : 16 : 53,2.7386503067484664,3.411279229711142,3.553345388788427,3.5982146263304466
1 : 08 : 00,1 : 49 : 04,3 : 41 : 15,7 : 16 : 52,2.735294117647059,3.410757946210269,3.552542372881356,3.5983518998931783
0 : 21 : 20,0 : 38 : 36,1 : 52 : 14,3 : 24 : 34,8.718750000000002,9.637305699481866,7.003267003267003,7.684536418445494
0 : 29 : 26,0 : 59 : 57,2 : 31 : 25,7 : 14 : 52,6.319365798414496,6.205170975813178,5.190974133186572,3.61490111911697
0 : 46 : 47,1 : 33 : 49,2 : 41 : 23,5 : 21 : 48,3.975774848592804,3.9651803162195773,4.870391407621605,4.885021752641392
0 : 33 : 24,1 : 10 : 31,2 : 32 : 19,5 : 36 : 44,5.568862275449102,5.275348617348144,5.160302002407266,4.668382498515145
0 : 51 : 22,1 : 24 : 35,3 : 2 : 12,6 : 20 : 0,3.6210253082414017,4.398029556650247,4.313940724478595,4.136842105263158
0 : 36 : 27,1 : 12 : 48,2 : 56 : 27,5 : 47 : 42,5.102880658436214,5.1098901098901095,4.454519693964296,4.5211389128559105
0 : 49 : 07,1 : 36 : 38,3 : 23 : 27,6 : 38 : 25,3.786901934170343,3.849603311486719,3.863357090194151,3.9456180715331515
0 : 49 : 10,1 : 36 : 38,3 : 23 : 27,6 : 38 : 23,3.7830508474576274,3.849603311486719,3.863357090194151,3.9459482073379912
0 : 33 : 55,1 : 07 : 32,2 : 32 : 20,5 : 25 : 15,5.4840294840294845,5.508390918065154,5.159737417943107,4.833205226748655
1 : 12 : 45,1 : 42 : 00,3 : 51 : 51,7 : 14 : 43,2.5567010309278353,3.647058823529412,3.390122924304507,3.6161484491814595
0 : 39 : 53,1 : 29 : 22,2 : 54 : 36,6 : 17 : 36,4.663602173004597,4.162625885863484,4.501718213058419,4.163135593220338
0 : 42 : 48,1 : 19 : 01,3 : 4 : 41,7 : 16 : 42,4.345794392523365,4.707867538493988,4.2559335800018046,3.599725211815892
0 : 40 : 57,1 : 29 : 22,3 : 11 : 28,6 : 45 : 5,4.542124542124542,4.162625885863484,4.105153203342618,3.880682987039704
0 : 34 : 43,1 : 12 : 34,2 : 48 : 31,6 : 6 : 57,5.357657225156024,5.126320624712909,4.664227079418454,4.283962392696553
0 : 40 : 39,1 : 23 : 05,2 : 55 : 45,6 : 32 : 48,4.575645756457565,4.477432296890672,4.47226173541963,4.0020366598778
0 : 40 : 58,1 : 29 : 21,3 : 11 : 29,6 : 45 : 5,4.540276647681042,4.163402350307779,4.104795891722517,3.880682987039704
0 : 57 : 38,1 : 41 : 35,3 : 27 : 3,6 : 35 : 54,3.2272990167727014,3.6620180475799837,3.7961844964984297,3.9706996716342515
0 : 53 : 31,1 : 35 : 12,3 : 2 : 6,5 : 55 : 47,3.4755527872936782,3.907563025210084,4.316309719934102,4.418419450039818
0 : 41 : 24,1 : 20 : 43,3 : 25 : 53,7 : 5 : 53,4.492753623188406,4.608713607268222,3.8176961062090182,3.691151723868039
0 : 39 : 39,1 : 21 : 16,2 : 50 : 40,6 : 21 : 20,4.691046658259774,4.57752255947498,4.60546875,4.1223776223776225
0 : 23 : 43,0 : 48 : 51,1 : 49 : 40,3 : 55 : 42,7.842586085734365,7.615148413510747,7.1671732522796345,6.6694951209164195
0 : 31 : 07,1 : 00 : 10,2 : 8 : 25,4 : 16 : 36,5.977504017139796,6.182825484764543,6.120700843608048,6.126266562743568
0 : 42 : 48,1 : 24 : 04,3 : 5 : 59,6 : 48 : 28,4.345794392523365,4.425059476605869,4.226185142037817,3.8485392524889837
0 : 50 : 56,1 : 15 : 44,2 : 18 : 48,5 : 43 : 7,3.651832460732985,4.911971830985916,5.662824207492795,4.581532034779229
0 : 26 : 15,0 : 51 : 54,1 : 56 : 28,5 : 41 : 38,7.085714285714286,7.167630057803469,6.748712077847738,4.601424529222363
1 : 00 : 39,1 : 36 : 30,3 : 40 : 52,7 : 22 : 16,3.0667765869744437,3.854922279792746,3.5587081195291272,3.554416641543564
0 : 32 : 16,1 : 01 : 14,2 : 9 : 7,4 : 37 : 2,5.764462809917355,6.07512248230811,6.087517748805989,5.674407411863794
0 : 42 : 48,1 : 24 : 05,3 : 6 : 0,6 : 57 : 39,4.345794392523365,4.424182358771061,4.225806451612903,3.7639171555129898
0 : 28 : 15,1 : 05 : 11,2 : 21 : 56,6 : 20 : 11,6.5840707964601775,5.70698031194068,5.5378111789572575,4.13484722283109
0 : 36 : 15,1 : 16 : 59,3 : 14 : 40,6 : 24 : 23,5.131034482758621,4.832214765100671,4.037671232876712,4.0896674326843865
0 : 50 : 04,1 : 23 : 40,3 : 7 : 9,6 : 14 : 31,3.7150466045272967,4.446215139442231,4.199839700774779,4.197409995104802
1 : 04 : 06,1 : 40 : 14,3 : 27 : 31,6 : 38 : 7,2.901716068642746,3.711340206185567,3.78764757850775,3.9485912839619877
0 : 26 : 17,1 : 00 : 25,2 : 7 : 57,4 : 45 : 36,7.076727964489537,6.157241379310345,6.143024618991794,5.504201680672268
1 : 03 : 12,1 : 13 : 48,2 : 56 : 43,5 : 45 : 20,2.943037974683544,5.040650406504065,4.447797793077431,4.552123552123552
0 : 42 : 43,1 : 25 : 13,3 : 17 : 39,7 : 8 : 59,4.3542723371049545,4.3653432427146495,3.9767265368074876,3.6644780294494734
1 : 19 : 53,2 : 13 : 20,4 : 2 : 35,7 : 15 : 4,2.3283955768829543,2.79,3.2401236688423216,3.613239350291143
0 : 28 : 50,0 : 57 : 23,2 : 12 : 31,5 : 13 : 46,6.450867052023122,6.4827185593958765,5.931329392529241,5.01009242536917
0 : 48 : 57,1 : 32 : 34,3 : 27 : 2,6 : 38 : 59,3.7997957099080693,4.018725243068059,3.7964900982128484,3.9400142027653615
0 : 24 : 18,0 : 50 : 40,1 : 53 : 58,3 : 50 : 23,7.65432098765432,7.342105263157895,6.896753436677391,6.82341025826521
0 : 34 : 22,1 : 25 : 47,2 : 40 : 54,5 : 21 : 0,5.412221144519883,4.3365067029337485,4.885021752641392,4.897196261682243
0 : 37 : 09,1 : 25 : 17,3 : 16 : 33,6 : 38 : 19,5.006729475100943,4.361930818839164,3.9989824472144493,3.9466086447131676
0 : 27 : 34,0 : 52 : 44,1 : 58 : 57,4 : 28 : 56,6.7472793228536885,7.054361567635904,6.6078184110970986,5.845314823996033
0 : 44 : 28,1 : 29 : 24,3 : 16 : 40,7 : 5 : 30,4.182908545727137,4.1610738255033555,3.9966101694915253,3.6944770857814335
0 : 43 : 02,1 : 26 : 39,2 : 58 : 16,6 : 37 : 31,4.322230828814872,4.293133294864397,4.409124906507105,3.954551171858622
0 : 44 : 29,1 : 29 : 24,3 : 16 : 39,7 : 7 : 36,4.181341326339453,4.1610738255033555,3.996948893974065,3.676333021515435
0 : 38 : 45,1 : 40 : 43,3 : 9 : 41,6 : 37 : 28,4.8,3.6935297037895087,4.1437483525173535,3.955048641395505
0 : 50 : 16,1 : 36 : 18,3 : 23 : 11,6 : 39 : 35,3.70026525198939,3.8629283489096573,3.8684275285046343,3.9340980187695513
0 : 34 : 25,1 : 12 : 36,2 : 45 : 32,6 : 11 : 29,5.404358353510896,5.123966942148761,4.748288360853806,4.231683790210417
1 : 21 : 45,1 : 37 : 22,2 : 21 : 56,5 : 42 : 18,2.2752293577981653,3.820609380349196,5.5378111789572575,4.592462751971954
0 : 33 : 32,1 : 06 : 31,1 : 50 : 53,4 : 10 : 40,5.546719681908549,5.59258331245302,7.088531489553585,6.2712765957446805
0 : 20 : 52,0 : 43 : 25,1 : 32 : 21,3 : 21 : 48,8.91373801916933,8.568138195777351,8.511099079588522,7.789890981169473
0 : 55 : 27,1 : 44 : 32,3 : 35 : 36,7 : 0 : 51,3.3543733092876464,3.5586734693877555,3.645640074211503,3.735297611975763
0 : 40 : 39,1 : 32 : 01,3 : 30 : 13,7 : 11 : 31,4.575645756457565,4.042745879369679,3.7389994450170456,3.6429647367811206
0 : 31 : 54,1 : 13 : 41,2 : 51 : 35,6 : 8 : 6,5.830721003134797,5.048631531327754,4.5808644973287995,4.270578647106764
0 : 59 : 18,1 : 37 : 45,3 : 30 : 12,7 : 11 : 27,3.136593591905565,3.8056265984654734,3.7392959086584208,3.643527639355661
0 : 53 : 09,1 : 25 : 22,3 : 11 : 51,5 : 10 : 20,3.499529633113829,4.357672784068724,4.096950742767787,5.065520945220194
0 : 25 : 22,0 : 51 : 38,1 : 52 : 36,4 : 5 : 32,7.332457293035479,7.204648160103293,6.980461811722914,6.402389356502851
0 : 56 : 11,1 : 35 : 11,2 : 43 : 38,5 : 51 : 24,3.310590329279146,3.9082472421642445,4.803422285597882,4.473534433693796
0 : 55 : 14,1 : 22 : 34,2 : 47 : 56,6 : 26 : 41,3.3675316837658418,4.50545014129996,4.680428741564112,4.06534201112021
0 : 42 : 14,1 : 33 : 05,3 : 28 : 31,6 : 38 : 11,4.404104183109708,3.9964189794091323,3.7694828550875226,3.947930182914068
0 : 26 : 38,0 : 49 : 43,1 : 58 : 2,4 : 39 : 28,6.9837296620775975,7.482400268186389,6.6591358373340865,5.625
0 : 45 : 01,1 : 46 : 13,3 : 12 : 24,6 : 42 : 30,4.131803035912625,3.5022752235995607,4.085239085239086,3.905590062111801
0 : 40 : 11,1 : 13 : 25,2 : 31 : 21,5 : 5 : 33,4.628784736623808,5.066969353007945,5.193260654112983,5.144820814923907
0 : 38 : 33,1 : 23 : 35,2 : 58 : 52,6 : 33 : 41,4.824902723735409,4.450648055832503,4.3943346999627275,3.993057025528132
0 : 43 : 30,1 : 45 : 19,3 : 26 : 17,6 : 42 : 38,4.275862068965518,3.5322044627314453,3.8102932859335863,3.904296713304081
0 : 33 : 10,1 : 10 : 02,2 : 28 : 22,5 : 22 : 9,5.608040201005026,5.311756306520705,5.297685913277914,4.87971441874903
1 : 01 : 24,1 : 35 : 10,3 : 5 : 15,6 : 45 : 3,3.0293159609120526,3.9089316987740803,4.242914979757085,3.881002345389458
0 : 23 : 08,0 : 49 : 31,1 : 54 : 50,3 : 53 : 53,8.04034582132565,7.512622012790307,6.844702467343977,6.72129979334426
0 : 32 : 34,1 : 01 : 41,2 : 17 : 12,4 : 50 : 35,5.711361310133061,6.030802485814645,5.728862973760933,5.409807857757385
0 : 42 : 27,1 : 54 : 46,3 : 31 : 58,7 : 7 : 8,4.381625441696113,3.2413592796979382,3.7081302091523822,3.6803496176057435
0 : 37 : 21,1 : 22 : 15,3 : 19 : 21,7 : 0 : 29,4.979919678714859,4.522796352583587,3.942814145974417,3.7385548376867885
0 : 32 : 17,1 : 06 : 22,2 : 29 : 9,5 : 23 : 40,5.761486835312339,5.605223505775992,5.269862554475361,4.856848609680741
0 : 45 : 34,1 : 07 : 26,2 : 27 : 44,5 : 27 : 36,4.081931236283833,5.5165595650024715,5.3203971119133575,4.798534798534798
0 : 35 : 35,1 : 10 : 03,2 : 30 : 40,5 : 21 : 30,5.227166276346605,5.310492505353319,5.216814159292035,4.889580093312597
0 : 42 : 13,1 : 21 : 44,3 : 15 : 13,6 : 56 : 0,4.405842874062376,4.551386623164763,4.026295569025868,3.7788461538461537
0 : 48 : 10,1 : 31 : 03,3 : 16 : 16,6 : 48 : 0,3.8615916955017306,4.085667215815486,4.004755434782608,3.8529411764705883
0 : 38 : 32,1 : 23 : 35,2 : 50 : 2,5 : 34 : 7,4.826989619377163,4.450648055832503,4.62262301509508,4.704943383049833
0 : 35 : 42,1 : 12 : 09,3 : 1 : 42,5 : 31 : 50,5.210084033613445,5.155925155925155,4.325811777655476,4.737317930688096
0 : 31 : 38,1 : 05 : 34,2 : 33 : 50,5 : 29 : 10,5.879873551106428,5.673614641586172,5.109425785482123,4.775696202531645
0 : 48 : 36,1 : 37 : 47,3 : 28 : 4,6 : 40 : 20,3.82716049382716,3.804329299471621,3.777635373277796,3.926727726894255
0 : 48 : 35,1 : 37 : 20,3 : 28 : 4,6 : 40 : 19,3.828473413379074,3.8219178082191783,3.777635373277796,3.926891211124526
