Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
1 : 11 : 51,1 : 51 : 21,3 : 26 : 7,6 : 34 : 25,2.5887265135699375,3.340817242927706,3.813374302579445,3.9856327910416227
0 : 43 : 44,1 : 23 : 40,3 : 33 : 1,7 : 4 : 16,4.253048780487805,4.446215139442231,3.6898521242469284,3.7052168447517286
0 : 51 : 13,1 : 31 : 48,2 : 57 : 47,5 : 17 : 35,3.631630328669053,4.052287581699346,4.421111840254992,4.949881920755708
1 : 38 : 10,1 : 02 : 30,2 : 19 : 15,5 : 25 : 11,1.894736842105263,5.952,5.644524236983842,4.834196094510789
0 : 45 : 24,1 : 40 : 10,3 : 16 : 1,6 : 28 : 14,4.096916299559472,3.713810316139767,4.009863106878666,4.049111359148278
0 : 31 : 08,1 : 04 : 16,2 : 17 : 4,4 : 59 : 20,5.974304068522485,5.788381742738589,5.73443579766537,5.251670378619154
1 : 38 : 09,1 : 18 : 10,2 : 38 : 36,6 : 39 : 1,1.8950585838003056,4.759061833688699,4.9558638083228255,3.93968505910363
0 : 30 : 17,1 : 05 : 59,2 : 19 : 11,5 : 33 : 15,6.141992294991744,5.637787320030311,5.64722787690097,4.717179294823707
0 : 36 : 38,1 : 31 : 08,2 : 57 : 58,6 : 53 : 47,5.077343039126479,4.081931236283833,4.416557407754261,3.7990897007290445
0 : 47 : 00,1 : 24 : 39,3 : 3 : 16,6 : 16 : 40,3.9574468085106385,4.394565859421146,4.288832302655511,4.173451327433629
0 : 51 : 11,1 : 31 : 49,2 : 57 : 47,5 : 17 : 33,3.6339954412243576,4.051552005808677,4.421111840254992,4.95040151157298
1 : 12 : 27,1 : 51 : 21,3 : 26 : 6,6 : 34 : 25,2.567287784679089,3.340817242927706,3.813682678311499,3.9856327910416227
0 : 43 : 42,1 : 23 : 42,3 : 33 : 0,7 : 5 : 41,4.25629290617849,4.444444444444445,3.6901408450704225,3.6928859480834735
0 : 40 : 31,1 : 18 : 59,2 : 47 : 44,6 : 14 : 44,4.590703414232826,4.709854399662376,4.686009538950716,4.1949830990926875
0 : 59 : 15,1 : 53 : 45,3 : 34 : 13,7 : 14 : 17,3.1392405063291138,3.2703296703296707,3.66918229207189,3.6197566872625395
0 : 26 : 54,1 : 01 : 26,2 : 11 : 10,4 : 57 : 4,6.914498141263941,6.0553445469343465,5.992376111817027,5.291741472172351
0 : 23 : 38,0 : 49 : 30,1 : 56 : 39,6 : 30 : 44,7.8702397743300425,7.515151515151516,6.7381054436348045,4.023204231359836
0 : 29 : 03,1 : 19 : 19,2 : 59 : 52,6 : 1 : 47,6.402753872633391,4.690060937171675,4.369903632320237,4.345142120053438
0 : 33 : 42,1 : 04 : 39,2 : 33 : 7,5 : 29 : 5,5.519287833827892,5.754060324825986,5.133340589964079,4.776905545707774
0 : 28 : 37,0 : 53 : 46,2 : 25 : 31,4 : 44 : 49,6.4997087944088525,6.918784872907626,5.401443133661664,5.51933992626836
0 : 41 : 53,1 : 18 : 35,2 : 47 : 40,6 : 30 : 47,4.440907282132909,4.733828207847296,4.687872763419484,4.022689469868213
0 : 34 : 35,1 : 14 : 57,2 : 38 : 30,5 : 41 : 36,5.378313253012048,4.963308872581721,4.958990536277603,4.601873536299766
0 : 28 : 47,0 : 57 : 58,2 : 17 : 50,6 : 25 : 2,6.462072958888245,6.417481311098332,5.70253929866989,4.082763397108475
0 : 33 : 08,1 : 03 : 26,2 : 24 : 49,5 : 3 : 24,5.613682092555333,5.864424592748294,5.427552077339165,5.181278839815425
0 : 38 : 18,1 : 28 : 59,2 : 35 : 15,5 : 32 : 50,4.856396866840732,4.180558156958232,5.06280193236715,4.723084626940411
0 : 38 : 18,1 : 29 : 00,2 : 35 : 15,5 : 32 : 50,4.856396866840732,4.179775280898876,5.06280193236715,4.723084626940411
0 : 43 : 22,1 : 23 : 36,3 : 9 : 44,6 : 40 : 9,4.2890084550345895,4.44976076555024,4.142656359803233,3.9285268024490816
0 : 34 : 58,1 : 09 : 40,2 : 37 : 49,6 : 19 : 47,5.319351763584366,5.339712918660287,4.980462562044567,4.139202176679686
0 : 44 : 42,1 : 15 : 05,2 : 35 : 53,5 : 55 : 58,4.1610738255033555,4.95449500554939,5.042232438789694,4.416143833692294
0 : 36 : 13,1 : 45 : 48,3 : 8 : 20,6 : 7 : 8,5.1357570179475385,3.516068052930057,4.173451327433629,4.281823134192845
0 : 38 : 13,1 : 19 : 13,2 : 47 : 15,6 : 29 : 59,4.86698648059311,4.695981485377656,4.699551569506726,4.030941493226206
0 : 39 : 49,1 : 20 : 33,2 : 50 : 8,5 : 54 : 23,4.671410632063624,4.618249534450652,4.619905956112852,4.435874523820722
0 : 18 : 21,0 : 45 : 03,1 : 41 : 6,3 : 19 : 4,10.136239782016348,8.25749167591565,7.774480712166173,7.896851975887475
0 : 27 : 56,0 : 53 : 44,2 : 6 : 59,5 : 14 : 44,6.658711217183771,6.923076923076923,6.189788686179289,4.994704511755984
0 : 40 : 49,1 : 24 : 47,2 : 59 : 39,6 : 8 : 52,4.556962025316455,4.387654806369176,4.3751739493459505,4.26170251219953
0 : 28 : 32,1 : 11 : 41,2 : 27 : 35,4 : 22 : 26,6.518691588785047,5.189490816089282,5.325804630152455,5.990092721961133
0 : 30 : 26,1 : 04 : 50,2 : 27 : 8,5 : 27 : 40,6.11171960569551,5.737789203084834,5.342093339374716,4.797558494404883
0 : 28 : 20,0 : 54 : 46,1 : 55 : 30,3 : 53 : 9,6.564705882352942,6.7924528301886795,6.805194805194805,6.742440488955608
0 : 32 : 22,1 : 11 : 28,2 : 33 : 12,4 : 55 : 15,5.746652935118434,5.205223880597014,5.130548302872063,5.324301439458086
0 : 40 : 55,1 : 29 : 56,3 : 12 : 57,7 : 6 : 43,4.54582484725051,4.1363973313565605,4.073594195387406,3.68394328789595
