LOCATION,River MILE,SPP,Species Name,SDATE,Year,Season,SEX,Length(mm),Weight(g),Moisture(%),Lipid(%),Total PCB(ppm),Lipid PCB(ppm)= Total PCB/Lipid (%),OverLimit
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20080421,2008,Spring,F,825,7240,75.8,4.45,0.285,6.404,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,489,1000,80.9,0.711,0.095,13.361,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,553,1660,71.5,3.49,0.223,6.39,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,538,1680,76,4.44,0.152,3.423,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,568,1740,78.8,2.84,0.453,15.951,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,580,1940,76.9,5.53,0.519,9.385,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,573,2000,73.3,4.82,0.584,12.116,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,605,2120,81.1,0.951,0.189,19.874,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,629,2200,76.9,2.29,0.255,11.135,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,629,2220,77.7,2.62,0.179,6.832,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,573,2240,74.7,4.9,1.41,28.776,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,U,618,2260,77.4,1.79,0.57,31.844,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,614,2300,78.8,1.66,0.101,6.084,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,614,2420,78.7,3.16,1.629,51.551,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,601,2420,77,4.24,0.711,16.769,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,642,2620,77.1,3.56,0.57,16.011,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,610,2640,76.5,3.81,1.81,47.507,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,609,2740,77.5,2.31,0.7,30.303,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,670,2840,77.2,2.58,0.224,8.682,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,639,3060,76.7,2.58,0.184,7.132,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,660,3060,71.9,7.66,0.42,5.483,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,701,3840,77.5,1.64,0.222,13.537,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,790,5320,78.1,3.29,0.396,12.036,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,790,5420,70.9,7.53,0.403,5.352,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,F,800,6180,76.2,4.92,0.173,3.516,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20100408,2010,Spring,M,845,6888,74.1,5.2,0.407,7.827,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,525,1540,79.3,0.636,0.092,14.465,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,512,1540,75.3,3.16,0.09,2.848,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,554,1740,75.6,1.34,0.087,6.493,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,U,558,1740,77.7,0.719,0.084,11.683,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,556,1800,72.4,4.67,0.251,5.375,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,U,533,1800,79.8,3.61,0.285,7.895,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,524,1840,76.4,3.23,0.158,4.892,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,558,1960,75.7,5.46,0.128,2.344,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,543,1960,76.5,4.36,0.29,6.651,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,593,2040,76.2,0.754,0.269,35.676,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,610,2160,76.4,0.522,0.01,1.916,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,622,2160,75.4,1.6,0.088,5.5,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,565,2220,74.1,4.31,0.131,3.039,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,608,2400,73.7,2.51,0.286,11.394,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,576,2420,74.5,3.66,0.262,7.158,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,646,2460,81.1,2.12,0.435,20.519,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,605,2660,76.8,2.79,0.098,3.513,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,607,2700,76.2,4,0.468,11.7,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,677,2900,74.2,5,0.94,18.8,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,F,673,3120,77,3.24,0.15,4.63,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,664,3520,78.1,1.4,0.169,12.071,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,672,3740,77.4,0.539,0.246,45.64,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,711,3820,77.6,2.57,0.358,13.93,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,792,5840,80,2.73,1.093,40.037,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20110406,2011,Spring,M,830,7240,70,7.77,6.68,85.972,Yes
PIERMONT,24.8,WC,Catfish (White),20010611,2001,Summer,F,491,1554,82.1,1.32,7.4,560.606,Yes
PIERMONT,24.8,WC,Catfish (White),20030711,2003,Summer,F,387,854,82.8,0.91,0.345,37.912,No
PIERMONT,24.8,WC,Catfish (White),20030711,2003,Summer,M,448,1294,82.3,0.65,1.026,157.846,No
PIERMONT,24.8,WC,Catfish (White),20040525,2004,Spring,U,329,556,78,3.1,1.76,56.774,No
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,M,285,284,77.4,5.19,4.67,89.981,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,F,317,532,77.4,4.49,2.54,56.57,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,F,397,860,75.6,5.6,4.94,88.214,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,M,375,882,75.3,11,4.91,44.636,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,F,402,908,79.5,4.68,2.85,60.897,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,M,404,982,77.1,4.38,2.32,52.968,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,M,415,1080,77,3.74,2,53.476,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,F,422,1264,76.9,5.23,2.84,54.302,Yes
PIERMONT,24.8,WC,Catfish (White),20050527,2005,Spring,F,468,1526,74.9,6.65,11.39,171.278,Yes
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,343,650,79.4,4.66,1.19,25.536,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,342,676,80.8,3.42,1.051,30.731,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,366,706,81.5,3.76,1.202,31.968,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,342,730,79.4,2.07,0.982,47.44,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,347,776,78.6,4.03,1.13,28.04,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,365,778,68,15.6,1.9,12.179,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,351,844,81.6,1.93,1.13,58.549,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,361,856,78.4,5.37,2.25,41.899,Yes
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,377,990,80.4,2.03,1.199,59.064,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,409,1068,78.9,2.18,0.644,29.541,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,412,1196,82.9,1.59,0.724,45.535,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,M,387,1206,80.3,2.57,0.957,37.237,No
PIERMONT,24.8,WC,Catfish (White),20060517,2006,Spring,F,442,1362,81.3,3.4,2.3,67.647,Yes
