date,R_fighter,B_fighter,Winner,title_bout,weight_class,R_Reach_cms,B_Reach_cms,R_current_win_streak,B_current_win_streak,ReachWin,StreakWin
2019-12-14,Max Holloway,Alexander Volkanovski,Blue,TRUE,Featherweight,175.26,180.34,0,7,Yes,Yes
2018-10-06,Khabib Nurmagomedov,Conor McGregor,Red,TRUE,Lightweight,177.8,187.96,10,7,No,Yes
2016-04-23,Demetrious Johnson,Henry Cejudo,Red,TRUE,Flyweight,167.64,162.56,2,4,Yes,No
2012-07-21,Urijah Faber,Renan Barao,Blue,TRUE,Bantamweight,170.18,177.8,1,3,Yes,Yes
2015-12-12,Jose Aldo,Conor McGregor,Blue,TRUE,Featherweight,177.8,187.96,7,6,Yes,No
2006-11-18,Tim Sylvia,Jeff Monson,Red,TRUE,Heavyweight,203.2,187.96,3,1,Yes,Yes
2010-03-27,Georges St-Pierre,Dan Hardy,Red,TRUE,Welterweight,193.04,187.96,2,4,Yes,No
2021-03-06,Petr Yan,Aljamain Sterling,Blue,TRUE,Bantamweight,170.18,180.34,7,4,Yes,No
2018-11-03,Daniel Cormier,Derrick Lewis,Red,TRUE,Heavyweight,182.88,200.66,4,2,No,Yes
2018-01-20,Daniel Cormier,Volkan Oezdemir,Red,TRUE,LightHeavyweight,182.88,190.5,4,3,No,Yes
2003-09-26,Randy Couture,Tito Ortiz,Red,TRUE,LightHeavyweight,190.5,187.96,7,1,Yes,Yes
2003-06-06,Randy Couture,Chuck Liddell,Red,TRUE,LightHeavyweight,190.5,193.04,7,1,No,Yes
2020-05-09,Tony Ferguson,Justin Gaethje,Blue,TRUE,Lightweight,193.04,177.8,3,1,No,No
2012-08-11,Benson Henderson,Frankie Edgar,Red,TRUE,Lightweight,177.8,172.72,4,3,Yes,Yes
2020-11-21,Valentina Shevchenko,Jennifer Maia,Red,TRUE,WomenFlyweight,167.64,162.56,1,0,Yes,Yes
2012-07-07,Anderson Silva,Chael Sonnen,Red,TRUE,Middleweight,195.58,185.42,14,0,Yes,Yes
2018-01-20,Stipe Miocic,Francis Ngannou,Red,TRUE,Heavyweight,203.2,210.82,3,6,No,No
2002-11-22,Tito Ortiz,Ken Shamrock,Red,TRUE,LightHeavyweight,187.96,182.88,1,2,Yes,No
2009-10-24,Lyoto Machida,Mauricio Rua,Red,TRUE,LightHeavyweight,187.96,193.04,7,0,No,Yes
2014-05-24,Renan Barao,TJ Dillashaw,Blue,TRUE,Bantamweight,177.8,170.18,7,0,No,No
2017-02-11,Holly Holm,Germaine de Randamie,Blue,TRUE,WomenFeatherweight,175.26,180.34,3,1,Yes,No
2011-07-02,Dominick Cruz,Urijah Faber,Red,TRUE,Bantamweight,172.72,170.18,0,1,Yes,No
